S Abid Ali,http://www.espncricinfo.com/ci/content/player/26169.html
BS Bedi,http://www.espncricinfo.com/ci/content/player/26875.html
FM Engineer,http://www.espncricinfo.com/ci/content/player/28624.html
SM Gavaskar,http://www.espncricinfo.com/ci/content/player/28794.html
S Madan Lal,http://www.espncricinfo.com/ci/content/player/30873.html
SS Naik,http://www.espncricinfo.com/ci/content/player/31778.html
BP Patel,http://www.espncricinfo.com/ci/content/player/32231.html
ED Solkar,http://www.espncricinfo.com/ci/content/player/34085.html
S Venkataraghavan,http://www.espncricinfo.com/ci/content/player/35656.html
GR Viswanath,http://www.espncricinfo.com/ci/content/player/35712.html
AL Wadekar,http://www.espncricinfo.com/ci/content/player/35933.html
GK Bose,http://www.espncricinfo.com/ci/content/player/26966.html
AV Mankad,http://www.espncricinfo.com/ci/content/player/30938.html
M Amarnath,http://www.espncricinfo.com/ci/content/player/26225.html
AD Gaekwad,http://www.espncricinfo.com/ci/content/player/28754.html
KD Ghavri,http://www.espncricinfo.com/ci/content/player/28813.html
SMH Kirmani,http://www.espncricinfo.com/ci/content/player/30116.html
PH Sharma,http://www.espncricinfo.com/ci/content/player/33958.html
DB Vengsarkar,http://www.espncricinfo.com/ci/content/player/35654.html
BS Chandrasekhar,http://www.espncricinfo.com/ci/content/player/27591.html
P Krishnamurthy,http://www.espncricinfo.com/ci/content/player/30135.html
R Sudhakar Rao,http://www.espncricinfo.com/ci/content/player/34136.html
S Amarnath,http://www.espncricinfo.com/ci/content/player/26226.html
CPS Chauhan,http://www.espncricinfo.com/ci/content/player/27619.html
N Kapil Dev,http://www.espncricinfo.com/ci/content/player/30028.html
Yashpal Sharma,http://www.espncricinfo.com/ci/content/player/36075.html
B Reddy,http://www.espncricinfo.com/ci/content/player/33152.html
SC Khanna,http://www.espncricinfo.com/ci/content/player/30077.html
KBJ Azad,http://www.espncricinfo.com/ci/content/player/26325.html
RMH Binny,http://www.espncricinfo.com/ci/content/player/26948.html
DR Doshi,http://www.espncricinfo.com/ci/content/player/28107.html
SM Patil,http://www.espncricinfo.com/ci/content/player/32283.html
TE Srinivasan,http://www.espncricinfo.com/ci/content/player/34109.html
B Yograj Singh,http://www.espncricinfo.com/ci/content/player/36078.html
Randhir Singh,http://www.espncricinfo.com/ci/content/player/33085.html
RJ Shastri,http://www.espncricinfo.com/ci/content/player/33975.html
K Srikkanth,http://www.espncricinfo.com/ci/content/player/34103.html
SV Nayak,http://www.espncricinfo.com/ci/content/player/31808.html
J Arun Lal,http://www.espncricinfo.com/ci/content/player/26295.html
AO Malhotra,http://www.espncricinfo.com/ci/content/player/30912.html
GAHM Parkar,http://www.espncricinfo.com/ci/content/player/32201.html
BS Sandhu,http://www.espncricinfo.com/ci/content/player/33816.html
Maninder Singh,http://www.espncricinfo.com/ci/content/player/30923.html
TAP Sekhar,http://www.espncricinfo.com/ci/content/player/33891.html
C Sharma,http://www.espncricinfo.com/ci/content/player/33949.html
RR Kulkarni,http://www.espncricinfo.com/ci/content/player/30151.html
M Prabhakar,http://www.espncricinfo.com/ci/content/player/32323.html
AK Patel,http://www.espncricinfo.com/ci/content/player/32226.html
RS Ghai,http://www.espncricinfo.com/ci/content/player/28808.html
KS More,http://www.espncricinfo.com/ci/content/player/31038.html
M Azharuddin,http://www.espncricinfo.com/ci/content/player/26329.html
S Viswanath,http://www.espncricinfo.com/ci/content/player/35713.html
LS Rajput,http://www.espncricinfo.com/ci/content/player/33034.html
L Sivaramakrishnan,http://www.espncricinfo.com/ci/content/player/34074.html
G Sharma,http://www.espncricinfo.com/ci/content/player/33952.html
NS Yadav,http://www.espncricinfo.com/ci/content/player/36064.html
CS Pandit,http://www.espncricinfo.com/ci/content/player/32179.html
R Lamba,http://www.espncricinfo.com/ci/content/player/30745.html
RP Singh,http://www.espncricinfo.com/ci/content/player/34057.html
B Arun,http://www.espncricinfo.com/ci/content/player/26293.html
NS Sidhu,http://www.espncricinfo.com/ci/content/player/34028.html
Arshad Ayub,http://www.espncricinfo.com/ci/content/player/26290.html
WV Raman,http://www.espncricinfo.com/ci/content/player/33058.html
AK Sharma,http://www.espncricinfo.com/ci/content/player/33943.html
SK Sharma,http://www.espncricinfo.com/ci/content/player/33963.html
SV Manjrekar,http://www.espncricinfo.com/ci/content/player/30934.html
ND Hirwani,http://www.espncricinfo.com/ci/content/player/29299.html
VB Chandrasekhar,http://www.espncricinfo.com/ci/content/player/27592.html
RGM Patel,http://www.espncricinfo.com/ci/content/player/32249.html
M Venkataramana,http://www.espncricinfo.com/ci/content/player/35657.html
RR Singh,http://www.espncricinfo.com/ci/content/player/34059.html
SA Ankola,http://www.espncricinfo.com/ci/content/player/26257.html
V Razdan,http://www.espncricinfo.com/ci/content/player/33151.html
SR Tendulkar,http://www.espncricinfo.com/ci/content/player/35320.html
SLV Raju,http://www.espncricinfo.com/ci/content/player/33044.html
AS Wassan,http://www.espncricinfo.com/ci/content/player/35939.html
Gursharan Singh,http://www.espncricinfo.com/ci/content/player/28884.html
A Kumble,http://www.espncricinfo.com/ci/content/player/30176.html
SP Mukherjee,http://www.espncricinfo.com/ci/content/player/31048.html
VG Kambli,http://www.espncricinfo.com/ci/content/player/30009.html
J Srinath,http://www.espncricinfo.com/ci/content/player/34105.html
PK Amre,http://www.espncricinfo.com/ci/content/player/26238.html
ST Banerjee,http://www.espncricinfo.com/ci/content/player/26853.html
SC Ganguly,http://www.espncricinfo.com/ci/content/player/28779.html
A Jadeja,http://www.espncricinfo.com/ci/content/player/29632.html
V Yadav,http://www.espncricinfo.com/ci/content/player/36069.html
RK Chauhan,http://www.espncricinfo.com/ci/content/player/27622.html
NR Mongia,http://www.espncricinfo.com/ci/content/player/31036.html
BKV Prasad,http://www.espncricinfo.com/ci/content/player/32345.html
AC Bedade,http://www.espncricinfo.com/ci/content/player/26872.html
Bhupinder Singh snr,http://www.espncricinfo.com/ci/content/player/26942.html
AR Kapoor,http://www.espncricinfo.com/ci/content/player/30030.html
PS Vaidya,http://www.espncricinfo.com/ci/content/player/35627.html
