player_id,matches,innings,NO,runs,BF,Ave,SR,50s,100s,Ct,St,Bowl_innings,balls,runs_given,wkts,Ave,Eco,SR
16406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
