Noor Ali Zadran	Usman Ghani	Asghar Stanikzai	Hashmatullah Shahidi	Samiullah Shenwari	Mohammad Nabi (c)	Shafiqullah †	Mirwais Ashraf	Sharafuddin Ashraf	Dawlat Zadran	Shapoor Zadran
V Sibanda	Sikandar Raza	H Masakadza	BRM Taylor (c)	SC Williams	E Chigumbura	P Utseya, RW Chakabva †, T Panyangara, DT Tiripano, TL Chatara

T Panyangara,	DT Tiripano,	TL Chatara,	P Utseya,	SC Williams,	Sikandar Raza,	
Shapoor Zadran,	Dawlat Zadran,	Mirwais Ashraf,	Sharafuddin Ashraf,	Mohammad Nabi,	Samiullah Shenwari,	
