SL Campbell	WW Hinds	BC Lara	RL Powell	CH Gayle	RD Jacobs †	MV Nagamootoo	JC Adams (c), NAM McLean, M Dillon, RD King
NC Johnson	GJ Whittall	MW Goodwin	ADR Campbell	A Flower (c) †	GW Flower	SV Carlisle, DP Viljoen, HH Streak, JA Rennie, BC Strang
BC Strang,	JA Rennie,	HH Streak,	DP Viljoen,	GJ Whittall,	GW Flower,	ADR Campbell,	
RD King,	M Dillon,	NAM McLean,	MV Nagamootoo,	CH Gayle,	JC Adams,	
