Shahriar Hossain	Javed Omar	Habibul Bashar	Aminul Islam (c)	Akram Khan	Naimur Rahman	Khaled Mashud †	Mohammad Rafique	Manjural Islam, Hasibul Hossain, Khaled Mahmud
ST Jayasuriya (c)	PA de Silva	MS Atapattu	RP Arnold, DPMD Jayawardene, RS Kaluwitharana †, UDU Chandana, WPUJC Vaas, M Muralitharan, DNT Zoysa, K Weeraratne
WPUJC Vaas,	DNT Zoysa,	K Weeraratne,	M Muralitharan,	UDU Chandana,	ST Jayasuriya,	PA de Silva,	
Hasibul Hossain,	Manjural Islam,	Khaled Mahmud,	Mohammad Rafique,	Naimur Rahman,	
