NJ Astle	MS Sinclair	SP Fleming (c)	RG Twose	CL Cairns	CZ Harris	SB Styris	CJ Nevin †	DL Vettori	SB Doull	PJ Wiseman
AC Gilchrist †	ME Waugh	ML Hayden	MG Bevan	SK Warne	SR Waugh (c)	DR Martyn	IJ Harvey, S Lee, DW Fleming, GD McGrath
GD McGrath,	DW Fleming,	IJ Harvey,	S Lee,	SK Warne,	ME Waugh,	
CL Cairns,	SB Doull,	SB Styris,	PJ Wiseman,	DL Vettori,	CZ Harris,	NJ Astle,	
