DR Smith	KOA Powell	KA Edwards	DM Bravo	LMP Simmons	DJ Bravo (c)	DJG Sammy	D Ramdin †, JO Holder, SP Narine, R Rampaul
MJ Lumb	MM Ali	LJ Wright	JE Root	BA Stokes	JC Buttler †	RS Bopara	TT Bresnan	CJ Jordan, SCJ Broad (c), JC Tredwell
