ME Trescothick	AJ Stewart (c) †	GA Hick	MP Maynard	GP Thorpe	A Flintoff	MA Ealham	RDB Croft	AR Caddick	D Gough	AD Mullally	
NC Johnson	CB Wishart	MW Goodwin	ADR Campbell	A Flower (c) †	GW Flower	GJ Whittall	DP Viljoen, BC Strang, GB Brent, PA Strang
NC Johnson,	BC Strang,	GB Brent,	DP Viljoen,	PA Strang,	GJ Whittall,	GW Flower,	
AR Caddick,	D Gough,	MA Ealham,	AD Mullally,	RDB Croft,	A Flintoff,	
