Azhar Ali (c)	Sami Aslam	Mohammad Hafeez	Haris Sohail	Mohammad Rizwan †	Fawad Alam	Saad Nasim	Wahab Riaz	Umar Gul	Zulfiqar Babar	Junaid Khan	
Tamim Iqbal	Soumya Sarkar	Mahmudullah	Mushfiqur Rahim †	Shakib Al Hasan, Sabbir Rahman, Nasir Hossain, Mashrafe Mortaza (c), Arafat Sunny, Taskin Ahmed, Rubel Hossain

Mashrafe Mortaza,	Taskin Ahmed,	Nasir Hossain,	Rubel Hossain,	Arafat Sunny,	Shakib Al Hasan,	Sabbir Rahman,	Mahmudullah,	
Mohammad Hafeez,	Umar Gul,	Wahab Riaz,	Junaid Khan,	Zulfiqar Babar,	Azhar Ali,	
