Q de Kock †	HM Amla	F du Plessis	RR Rossouw	AB de Villiers (c)	DA Miller	F Behardien	DW Steyn, KJ Abbott, M Morkel, Imran Tahir
DR Smith	CH Gayle	MN Samuels	JL Carter	D Ramdin †	LMP Simmons	DJG Sammy	AD Russell	JO Holder (c)	JE Taylor	SJ Benn	

JE Taylor,	JO Holder,	AD Russell,	MN Samuels,	SJ Benn,	DJG Sammy,	CH Gayle,	
DW Steyn,	KJ Abbott,	M Morkel,	Imran Tahir,	F du Plessis,	
