ADR Campbell	CB Wishart	SV Carlisle	A Flower †	GW Flower	GJ Whittall	HH Streak (c)	DP Viljoen	PA Strang	BC Strang	M Mbangwa
CJ Nevin †	NJ Astle	CM Spearman	RG Twose	CD McMillan	SP Fleming (c), CZ Harris, SB Styris, GP Sulzberger, DR Tuffey, SB O'Connor
SB O'Connor,	DR Tuffey,	SB Styris,	CZ Harris,	NJ Astle,	GP Sulzberger,	
HH Streak,	BC Strang,	M Mbangwa,	DP Viljoen,	PA Strang,	GW Flower,	
