Mohammad Hafeez	Ahmed Shehzad	Younis Khan	Misbah-ul-Haq (c)	Haris Sohail	Umar Akmal	Sarfraz Ahmed †	Shahid Afridi	Bilawal Bhatti	Ehsan Adil	Mohammad Irfan	
MJ Guptill	BB McCullum (c)	TWM Latham	LRPL Taylor	GD Elliott	CJ Anderson, L Ronchi †, NL McCullum, KD Mills, AF Milne, TA Boult

KD Mills,	TA Boult,	AF Milne,	NL McCullum,	CJ Anderson,	GD Elliott,	
Mohammad Irfan,	Bilawal Bhatti,	Ehsan Adil,	Shahid Afridi,	Haris Sohail,	
