MJ Guptill	JD Ryder	BB McCullum (c)	LRPL Taylor	CJ Anderson	L Ronchi †	AF Milne, JDS Neesham, NL McCullum, KD Mills, MJ McClenaghan
J Charles	LMP Simmons	CAK Walton	KOA Powell	DJ Bravo (c)	N Deonarine	D Ramdin †	NO Miller, SP Narine, JO Holder, R Rampaul

SP Narine,	JO Holder,	R Rampaul,	NO Miller,	DJ Bravo,	LMP Simmons,	
KD Mills,	MJ McClenaghan,	NL McCullum,	JD Ryder,	JDS Neesham,	MJ Guptill,	AF Milne,	
