Usman Ghani	Nawroz Mangal	Afsar Zazai †	Mohammad Nabi (c)	Asghar Stanikzai	Samiullah Shenwari	Gulbadin Naib	Mirwais Ashraf	Dawlat Zadran	Sharafuddin Ashraf	Hamid Hassan
Amjad Ali	AR Berenger	Mohammad Shahzad	Khurram Khan (c)	Shaiman Anwar	Saqib Ali	Krishna Chandran, Mohammad Naveed, AM Guruge, SP Patil †, Salman Farooq

Mohammad Naveed,	AM Guruge,	Mohammad Shahzad,	Krishna Chandran,	Salman Farooq,	Khurram Khan,	
Mirwais Ashraf,	Hamid Hassan,	Dawlat Zadran,	Mohammad Nabi,	Sharafuddin Ashraf,	Samiullah Shenwari,	Gulbadin Naib,	
