MDKJ Perera	HDRL Thirimanne	KC Sangakkara †	DPMD Jayawardene	LD Chandimal	AD Mathews (c)	PC de Silva	NLTC Perera	SL Malinga, BAW Mendis, RAS Lakmal
Mohammad Shahzad †	Noor Ali Zadran	Asghar Stanikzai	Nawroz Mangal	Samiullah Shenwari	Mohammad Nabi (c)	Najibullah Zadran	Mirwais Ashraf	Amir Hamza	Dawlat Zadran	Shapoor Zadran	

Najibullah Zadran,	Shapoor Zadran,	Dawlat Zadran,	Mirwais Ashraf,	Mohammad Nabi,	Amir Hamza,	Samiullah Shenwari,	Nawroz Mangal,	
SL Malinga,	RAS Lakmal,	NLTC Perera,	PC de Silva,	BAW Mendis,	
