Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,May 17,http://stats.espncricinfo.com/ci/engine/match/1033365.html
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),May 19,http://stats.espncricinfo.com/ci/engine/match/1033367.html
Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),May 21,http://stats.espncricinfo.com/ci/engine/match/1033369.html
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,May 24,http://stats.espncricinfo.com/ci/engine/match/1033371.html
England,South Africa,England,72 runs,Leeds,May 24,http://stats.espncricinfo.com/ci/engine/match/1031425.html
England,South Africa,England,2 runs,Southampton,May 27,http://stats.espncricinfo.com/ci/engine/match/1031427.html
England,South Africa,South Africa,7 wickets,Lord's,May 29,http://stats.espncricinfo.com/ci/engine/match/1031429.html
England,Bangladesh,England,8 wickets,The Oval,Jun 1,http://stats.espncricinfo.com/ci/engine/match/1022347.html
Australia,New Zealand,no result, ,Birmingham,Jun 2,http://stats.espncricinfo.com/ci/engine/match/1022349.html
South Africa,Sri Lanka,South Africa,96 runs,The Oval,Jun 3,http://stats.espncricinfo.com/ci/engine/match/1022351.html
India,Pakistan,India,124 runs,Birmingham,Jun 4,http://stats.espncricinfo.com/ci/engine/match/1022353.html
Australia,Bangladesh,no result, ,The Oval,Jun 5,http://stats.espncricinfo.com/ci/engine/match/1022355.html
England,New Zealand,England,87 runs,Cardiff,Jun 6,http://stats.espncricinfo.com/ci/engine/match/1022357.html
Pakistan,South Africa,Pakistan,19 runs,Birmingham,Jun 7,http://stats.espncricinfo.com/ci/engine/match/1022359.html
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,Jun 8,http://stats.espncricinfo.com/ci/engine/match/1022361.html
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,Jun 9,http://stats.espncricinfo.com/ci/engine/match/1022363.html
West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,Jun 9,http://stats.espncricinfo.com/ci/engine/match/1089779.html
England,Australia,England,40 runs,Birmingham,Jun 10,http://stats.espncricinfo.com/ci/engine/match/1022365.html
India,South Africa,India,8 wickets,The Oval,Jun 11,http://stats.espncricinfo.com/ci/engine/match/1022367.html
West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,Jun 11,http://stats.espncricinfo.com/ci/engine/match/1089780.html
Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,Jun 12,http://stats.espncricinfo.com/ci/engine/match/1022369.html
England,Pakistan,Pakistan,8 wickets,Cardiff,Jun 14,http://stats.espncricinfo.com/ci/engine/match/1022371.html
West Indies,Afghanistan,no result, ,Gros Islet,Jun 14,http://stats.espncricinfo.com/ci/engine/match/1089781.html
Bangladesh,India,India,9 wickets,Birmingham,Jun 15,http://stats.espncricinfo.com/ci/engine/match/1022373.html
Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,Jun 15,http://stats.espncricinfo.com/ci/engine/match/1089419.html
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,Jun 17,http://stats.espncricinfo.com/ci/engine/match/1089420.html
India,Pakistan,Pakistan,180 runs,The Oval,Jun 18,http://stats.espncricinfo.com/ci/engine/match/1022375.html
West Indies,India,no result, ,Port of Spain,Jun 23,http://stats.espncricinfo.com/ci/engine/match/1098206.html
West Indies,India,India,105 runs,Port of Spain,Jun 25,http://stats.espncricinfo.com/ci/engine/match/1098207.html
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,Jun 30,http://stats.espncricinfo.com/ci/engine/match/1104478.html
West Indies,India,India,93 runs,North Sound,Jun 30,http://stats.espncricinfo.com/ci/engine/match/1098208.html
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,Jul 2,http://stats.espncricinfo.com/ci/engine/match/1104479.html
West Indies,India,West Indies,11 runs,North Sound,Jul 2,http://stats.espncricinfo.com/ci/engine/match/1098209.html
Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,Jul 6,http://stats.espncricinfo.com/ci/engine/match/1104480.html
West Indies,India,India,8 wickets,Kingston,Jul 6,http://stats.espncricinfo.com/ci/engine/match/1098210.html
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,Jul 8,http://stats.espncricinfo.com/ci/engine/match/1104481.html
