Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,Jan 4,http://stats.espncricinfo.com/ci/engine/match/434258.html
India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,Jan 5,http://stats.espncricinfo.com/ci/engine/match/434259.html
Bangladesh,India,India,6 wickets,Dhaka,Jan 7,http://stats.espncricinfo.com/ci/engine/match/434260.html
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,Jan 8,http://stats.espncricinfo.com/ci/engine/match/434261.html
India,Sri Lanka,India,8 wickets,Dhaka,Jan 10,http://stats.espncricinfo.com/ci/engine/match/434262.html
Bangladesh,India,India,6 wickets,Dhaka,Jan 11,http://stats.espncricinfo.com/ci/engine/match/434263.html
India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,Jan 13,http://stats.espncricinfo.com/ci/engine/match/434264.html
Australia,Pakistan,Australia,5 wickets,Brisbane,Jan 22,http://stats.espncricinfo.com/ci/engine/match/406202.html
Australia,Pakistan,Australia,140 runs,Sydney,Jan 24,http://stats.espncricinfo.com/ci/engine/match/406203.html
Australia,Pakistan,Australia,40 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/406204.html
Australia,Pakistan,Australia,135 runs,Perth,Jan 29,http://stats.espncricinfo.com/ci/engine/match/406205.html
Australia,Pakistan,Australia,2 wickets,Perth,Jan 31,http://stats.espncricinfo.com/ci/engine/match/406206.html
New Zealand,Bangladesh,New Zealand,146 runs,Napier,Feb 5,http://stats.espncricinfo.com/ci/engine/match/423783.html
Australia,West Indies,Australia,113 runs,Melbourne,Feb 7,http://stats.espncricinfo.com/ci/engine/match/406192.html
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,Feb 8,http://stats.espncricinfo.com/ci/engine/match/423784.html
Australia,West Indies,Australia,8 wickets,Adelaide,Feb 9,http://stats.espncricinfo.com/ci/engine/match/406193.html
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,Feb 11,http://stats.espncricinfo.com/ci/engine/match/423785.html
Australia,West Indies,no result, ,Sydney,Feb 12,http://stats.espncricinfo.com/ci/engine/match/406194.html
Australia,West Indies,Australia,50 runs,Brisbane,Feb 14,http://stats.espncricinfo.com/ci/engine/match/406195.html
Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),Feb 16,http://stats.espncricinfo.com/ci/engine/match/441782.html
Afghanistan,Canada,Afghanistan,1 run,Sharjah,Feb 16,http://stats.espncricinfo.com/ci/engine/match/441780.html
Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),Feb 18,http://stats.espncricinfo.com/ci/engine/match/441783.html
Afghanistan,Canada,Canada,4 wickets,Sharjah,Feb 18,http://stats.espncricinfo.com/ci/engine/match/441781.html
Australia,West Indies,Australia,125 runs,Melbourne,Feb 19,http://stats.espncricinfo.com/ci/engine/match/406196.html
India,South Africa,India,1 run,Jaipur,Feb 21,http://stats.espncricinfo.com/ci/engine/match/441827.html
India,South Africa,India,153 runs,Gwalior,Feb 24,http://stats.espncricinfo.com/ci/engine/match/441828.html
India,South Africa,South Africa,90 runs,Ahmedabad,Feb 27,http://stats.espncricinfo.com/ci/engine/match/441829.html
Bangladesh,England,England,6 wickets,Dhaka,Feb 28,http://stats.espncricinfo.com/ci/engine/match/426420.html
Bangladesh,England,England,2 wickets,Dhaka,Mar 2,http://stats.espncricinfo.com/ci/engine/match/426421.html
New Zealand,Australia,New Zealand,2 wickets,Napier,Mar 3,http://stats.espncricinfo.com/ci/engine/match/423791.html
West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,Mar 4,http://stats.espncricinfo.com/ci/engine/match/439140.html
Bangladesh,England,England,45 runs,Chittagong,Mar 5,http://stats.espncricinfo.com/ci/engine/match/426422.html
New Zealand,Australia,Australia,12 runs,Auckland,Mar 6,http://stats.espncricinfo.com/ci/engine/match/423792.html
West Indies,Zimbabwe,West Indies,4 wickets,Providence,Mar 6,http://stats.espncricinfo.com/ci/engine/match/439141.html
New Zealand,Australia,Australia,6 wickets,Hamilton,Mar 9,http://stats.espncricinfo.com/ci/engine/match/423793.html
West Indies,Zimbabwe,West Indies,141 runs,Kingstown,Mar 10,http://stats.espncricinfo.com/ci/engine/match/439142.html
New Zealand,Australia,Australia,6 wickets,Auckland,Mar 11,http://stats.espncricinfo.com/ci/engine/match/423794.html
