South Africa,India,South Africa,135 runs,Durban,Jan 12,http://stats.espncricinfo.com/ci/engine/match/463150.html
South Africa,India,India,1 run,Johannesburg,Jan 15,http://stats.espncricinfo.com/ci/engine/match/463151.html
Australia,England,Australia,6 wickets,Melbourne,Jan 16,http://stats.espncricinfo.com/ci/engine/match/446962.html
South Africa,India,India,2 wickets,Cape Town,Jan 18,http://stats.espncricinfo.com/ci/engine/match/463152.html
Australia,England,Australia,46 runs,Hobart,Jan 21,http://stats.espncricinfo.com/ci/engine/match/446963.html
South Africa,India,South Africa,48 runs,Port Elizabeth,Jan 21,http://stats.espncricinfo.com/ci/engine/match/463153.html
New Zealand,Pakistan,New Zealand,9 wickets,Wellington,Jan 22,http://stats.espncricinfo.com/ci/engine/match/473923.html
Australia,England,Australia,4 wickets,Sydney,Jan 23,http://stats.espncricinfo.com/ci/engine/match/446964.html
South Africa,India,South Africa,33 runs,Centurion,Jan 23,http://stats.espncricinfo.com/ci/engine/match/463154.html
New Zealand,Pakistan,no result, ,Queenstown,Jan 26,http://stats.espncricinfo.com/ci/engine/match/473924.html
Australia,England,England,21 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/446965.html
New Zealand,Pakistan,Pakistan,43 runs,Christchurch,Jan 29,http://stats.espncricinfo.com/ci/engine/match/473925.html
Australia,England,Australia,51 runs,Brisbane,Jan 30,http://stats.espncricinfo.com/ci/engine/match/446966.html
Sri Lanka,West Indies,no result, ,Colombo (SSC),Jan 31,http://stats.espncricinfo.com/ci/engine/match/464990.html
New Zealand,Pakistan,Pakistan,2 wickets,Napier,Feb 1,http://stats.espncricinfo.com/ci/engine/match/473926.html
Australia,England,Australia,2 wickets,Sydney,Feb 2,http://stats.espncricinfo.com/ci/engine/match/446967.html
New Zealand,Pakistan,Pakistan,41 runs,Hamilton,Feb 3,http://stats.espncricinfo.com/ci/engine/match/473927.html
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),Feb 3,http://stats.espncricinfo.com/ci/engine/match/464991.html
New Zealand,Pakistan,New Zealand,57 runs,Auckland,Feb 5,http://stats.espncricinfo.com/ci/engine/match/473928.html
Australia,England,Australia,57 runs,Perth,Feb 6,http://stats.espncricinfo.com/ci/engine/match/446968.html
Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),Feb 6,http://stats.espncricinfo.com/ci/engine/match/464992.html
Bangladesh,India,India,87 runs,Dhaka,Feb 19,http://stats.espncricinfo.com/ci/engine/match/433558.html
Kenya,New Zealand,New Zealand,10 wickets,Chennai,Feb 20,http://stats.espncricinfo.com/ci/engine/match/433559.html
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,Feb 20,http://stats.espncricinfo.com/ci/engine/match/433560.html
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,Feb 21,http://stats.espncricinfo.com/ci/engine/match/433561.html
England,Netherlands,England,6 wickets,Nagpur,Feb 22,http://stats.espncricinfo.com/ci/engine/match/433562.html
Kenya,Pakistan,Pakistan,205 runs,Hambantota,Feb 23,http://stats.espncricinfo.com/ci/engine/match/433563.html
South Africa,West Indies,South Africa,7 wickets,Delhi,Feb 24,http://stats.espncricinfo.com/ci/engine/match/433564.html
Australia,New Zealand,Australia,7 wickets,Nagpur,Feb 25,http://stats.espncricinfo.com/ci/engine/match/433565.html
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,Feb 25,http://stats.espncricinfo.com/ci/engine/match/433566.html
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),Feb 26,http://stats.espncricinfo.com/ci/engine/match/433567.html
India,England,tied, ,Bengaluru,Feb 27,http://stats.espncricinfo.com/ci/engine/match/433568.html
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,Feb 28,http://stats.espncricinfo.com/ci/engine/match/433570.html
Netherlands,West Indies,West Indies,215 runs,Delhi,Feb 28,http://stats.espncricinfo.com/ci/engine/match/433569.html
