Team1:Hong Kong,Team2:U.A.E.,Winner:U.A.E.,Margin:2 wickets,Ground:Kuala Lumpur,Match Date:May 4, 2014,Scorecard Link:/ci/engine/match/736511.html
Team1:Ireland,Team2:Sri Lanka,Winner:Sri Lanka,Margin:79 runs,Ground:Dublin,Match Date:May 6, 2014,Scorecard Link:/ci/engine/match/706767.html
Team1:Scotland,Team2:England,Winner:England,Margin:39 runs,Ground:Aberdeen,Match Date:May 9, 2014,Scorecard Link:/ci/engine/match/684679.html
Team1:England,Team2:Sri Lanka,Winner:England,Margin:81 runs,Ground:The Oval,Match Date:May 22, 2014,Scorecard Link:/ci/engine/match/667889.html
Team1:England,Team2:Sri Lanka,Winner:Sri Lanka,Margin:157 runs,Ground:Chester-le-Street,Match Date:May 25, 2014,Scorecard Link:/ci/engine/match/667891.html
Team1:England,Team2:Sri Lanka,Winner:England,Margin:10 wickets,Ground:Manchester,Match Date:May 28, 2014,Scorecard Link:/ci/engine/match/667893.html
Team1:England,Team2:Sri Lanka,Winner:Sri Lanka,Margin:7 runs,Ground:Lord's,Match Date:May 31, 2014,Scorecard Link:/ci/engine/match/667895.html
Team1:England,Team2:Sri Lanka,Winner:Sri Lanka,Margin:6 wickets,Ground:Birmingham,Match Date:Jun 3, 2014,Scorecard Link:/ci/engine/match/667897.html
Team1:Bangladesh,Team2:India,Winner:India,Margin:7 wickets,Ground:Dhaka,Match Date:Jun 15, 2014,Scorecard Link:/ci/engine/match/744679.html
Team1:Bangladesh,Team2:India,Winner:India,Margin:47 runs,Ground:Dhaka,Match Date:Jun 17, 2014,Scorecard Link:/ci/engine/match/744681.html
Team1:Bangladesh,Team2:India,Winner:no result,Margin: ,Ground:Dhaka,Match Date:Jun 19, 2014,Scorecard Link:/ci/engine/match/744683.html
Team1:Sri Lanka,Team2:South Africa,Winner:South Africa,Margin:75 runs,Ground:Colombo (RPS),Match Date:Jul 6, 2014,Scorecard Link:/ci/engine/match/730083.html
