Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,Jan 8,http://stats.espncricinfo.com/ci/engine/match/812623.html,ODI # 3572
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),Jan 10,http://stats.espncricinfo.com/ci/engine/match/810827.html,ODI # 3573
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,Jan 11,http://stats.espncricinfo.com/ci/engine/match/749781.html,ODI # 3574
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),Jan 12,http://stats.espncricinfo.com/ci/engine/match/810829.html,ODI # 3575
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,Jan 14,http://stats.espncricinfo.com/ci/engine/match/812645.html,ODI # 3576
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,Jan 15,http://stats.espncricinfo.com/ci/engine/match/749783.html,ODI # 3577
Australia,England,Australia,3 wickets,Sydney,Jan 16,http://stats.espncricinfo.com/ci/engine/match/754751.html,ODI # 3578
South Africa,West Indies,South Africa,61 runs,Durban,Jan 16,http://stats.espncricinfo.com/ci/engine/match/722339.html,ODI # 3579
New Zealand,Sri Lanka,no result, ,Auckland,Jan 17,http://stats.espncricinfo.com/ci/engine/match/749785.html,ODI # 3580
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),Jan 17,http://stats.espncricinfo.com/ci/engine/match/810833.html,ODI # 3581
Australia,India,Australia,4 wickets,Melbourne,Jan 18,http://stats.espncricinfo.com/ci/engine/match/754749.html,ODI # 3582
South Africa,West Indies,South Africa,148 runs,Johannesburg,Jan 18,http://stats.espncricinfo.com/ci/engine/match/722341.html,ODI # 3583
Ireland,Scotland,no result, ,ICCA Dubai,Jan 19,http://stats.espncricinfo.com/ci/engine/match/810831.html,ODI # 3584
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,Jan 20,http://stats.espncricinfo.com/ci/engine/match/749787.html,ODI # 3585
England,India,England,9 wickets,Brisbane,Jan 20,http://stats.espncricinfo.com/ci/engine/match/754753.html,ODI # 3586
South Africa,West Indies,South Africa,9 wickets,East London,Jan 21,http://stats.espncricinfo.com/ci/engine/match/722343.html,ODI # 3587
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,Jan 23,http://stats.espncricinfo.com/ci/engine/match/749789.html,ODI # 3588
Australia,England,Australia,3 wickets,Hobart,Jan 23,http://stats.espncricinfo.com/ci/engine/match/754755.html,ODI # 3589
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,Jan 25,http://stats.espncricinfo.com/ci/engine/match/749791.html,ODI # 3590
South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,Jan 25,http://stats.espncricinfo.com/ci/engine/match/722345.html,ODI # 3591
Australia,India,no result, ,Sydney,Jan 26,http://stats.espncricinfo.com/ci/engine/match/754757.html,ODI # 3592
