Australia,New Zealand,New Zealand,23 runs,Melbourne,Jan 11,http://stats.espncricinfo.com/ci/engine/match/65615.html
Australia,South Africa,South Africa,4 wickets,Melbourne,Jan 13,http://stats.espncricinfo.com/ci/engine/match/65616.html
New Zealand,South Africa,South Africa,26 runs,Hobart,Jan 15,http://stats.espncricinfo.com/ci/engine/match/65617.html
Australia,New Zealand,New Zealand,23 runs,Sydney,Jan 17,http://stats.espncricinfo.com/ci/engine/match/65618.html
New Zealand,South Africa,New Zealand,4 wickets,Brisbane,Jan 19,http://stats.espncricinfo.com/ci/engine/match/65619.html
India,England,India,22 runs,Kolkata,Jan 19,http://stats.espncricinfo.com/ci/engine/match/64736.html
Australia,South Africa,Australia,27 runs,Brisbane,Jan 20,http://stats.espncricinfo.com/ci/engine/match/65620.html
Bangladesh,Pakistan,Pakistan,49 runs,Chittagong,Jan 22,http://stats.espncricinfo.com/ci/engine/match/64737.html
Australia,South Africa,Australia,8 wickets,Sydney,Jan 22,http://stats.espncricinfo.com/ci/engine/match/65621.html
India,England,England,16 runs,Cuttack,Jan 22,http://stats.espncricinfo.com/ci/engine/match/64738.html
Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,Jan 24,http://stats.espncricinfo.com/ci/engine/match/64739.html
Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,Jan 25,http://stats.espncricinfo.com/ci/engine/match/64740.html
India,England,India,4 wickets,Chennai,Jan 25,http://stats.espncricinfo.com/ci/engine/match/64741.html
Australia,New Zealand,New Zealand,77 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/65622.html
New Zealand,South Africa,South Africa,93 runs,Adelaide,Jan 27,http://stats.espncricinfo.com/ci/engine/match/65623.html
India,England,India,8 wickets,Kanpur,Jan 28,http://stats.espncricinfo.com/ci/engine/match/64742.html
Australia,New Zealand,Australia,2 wickets,Melbourne,Jan 29,http://stats.espncricinfo.com/ci/engine/match/65624.html
India,England,England,2 runs,Delhi,Jan 31,http://stats.espncricinfo.com/ci/engine/match/64743.html
New Zealand,South Africa,South Africa,67 runs,Perth,Feb 1,http://stats.espncricinfo.com/ci/engine/match/65625.html
Australia,South Africa,Australia,33 runs,Perth,Feb 3,http://stats.espncricinfo.com/ci/engine/match/65626.html
India,England,England,5 runs,Mumbai,Feb 3,http://stats.espncricinfo.com/ci/engine/match/64744.html
New Zealand,South Africa,South Africa,8 wickets,Melbourne,Feb 6,http://stats.espncricinfo.com/ci/engine/match/65627.html
New Zealand,South Africa,South Africa,6 wickets,Sydney,Feb 8,http://stats.espncricinfo.com/ci/engine/match/65628.html
New Zealand,England,New Zealand,4 wickets,Christchurch,Feb 13,http://stats.espncricinfo.com/ci/engine/match/64745.html
Pakistan,West Indies,Pakistan,4 wickets,Sharjah,Feb 14,http://stats.espncricinfo.com/ci/engine/match/64746.html
Pakistan,West Indies,Pakistan,51 runs,Sharjah,Feb 15,http://stats.espncricinfo.com/ci/engine/match/64747.html
New Zealand,England,New Zealand,155 runs,Wellington,Feb 16,http://stats.espncricinfo.com/ci/engine/match/64748.html
Pakistan,West Indies,West Indies,110 runs,Sharjah,Feb 17,http://stats.espncricinfo.com/ci/engine/match/64749.html
New Zealand,England,England,43 runs,Napier,Feb 20,http://stats.espncricinfo.com/ci/engine/match/64750.html
New Zealand,England,England,33 runs,Auckland,Feb 23,http://stats.espncricinfo.com/ci/engine/match/64751.html
New Zealand,England,New Zealand,5 wickets,Dunedin,Feb 26,http://stats.espncricinfo.com/ci/engine/match/64752.html
India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,Mar 7,http://stats.espncricinfo.com/ci/engine/match/64753.html
India,Zimbabwe,India,64 runs,Mohali,Mar 10,http://stats.espncricinfo.com/ci/engine/match/64754.html
India,Zimbabwe,Zimbabwe,6 wickets,Kochi,Mar 13,http://stats.espncricinfo.com/ci/engine/match/64755.html
India,Zimbabwe,India,5 wickets,Hyderabad (Deccan),Mar 16,http://stats.espncricinfo.com/ci/engine/match/64756.html
India,Zimbabwe,India,101 runs,Guwahati,Mar 19,http://stats.espncricinfo.com/ci/engine/match/64757.html
South Africa,Australia,Australia,19 runs,Johannesburg,Mar 22,http://stats.espncricinfo.com/ci/engine/match/64758.html
South Africa,Australia,Australia,45 runs,Centurion,Mar 24,http://stats.espncricinfo.com/ci/engine/match/64759.html
South Africa,Australia,tied, ,Potchefstroom,Mar 27,http://stats.espncricinfo.com/ci/engine/match/64760.html
South Africa,Australia,Australia,37 runs,Bloemfontein,Mar 30,http://stats.espncricinfo.com/ci/engine/match/64761.html
South Africa,Australia,Australia,8 wickets,Durban,Apr 3,http://stats.espncricinfo.com/ci/engine/match/64762.html
South Africa,Australia,Australia,3 wickets,Port Elizabeth,Apr 6,http://stats.espncricinfo.com/ci/engine/match/64763.html
Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah,Apr 8,http://stats.espncricinfo.com/ci/engine/match/65796.html
New Zealand,Sri Lanka,New Zealand,11 runs,Sharjah,Apr 9,http://stats.espncricinfo.com/ci/engine/match/65797.html
South Africa,Australia,South Africa,65 runs,Cape Town,Apr 9,http://stats.espncricinfo.com/ci/engine/match/64764.html
New Zealand,Pakistan,Pakistan,51 runs,Sharjah,Apr 11,http://stats.espncricinfo.com/ci/engine/match/65798.html
Pakistan,Sri Lanka,Sri Lanka,9 runs,Sharjah,Apr 12,http://stats.espncricinfo.com/ci/engine/match/65799.html
New Zealand,Sri Lanka,Sri Lanka,46 runs,Sharjah,Apr 14,http://stats.espncricinfo.com/ci/engine/match/65800.html
New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,Apr 15,http://stats.espncricinfo.com/ci/engine/match/65801.html
Pakistan,Sri Lanka,Pakistan,217 runs,Sharjah,Apr 17,http://stats.espncricinfo.com/ci/engine/match/65802.html
Pakistan,New Zealand,Pakistan,153 runs,Karachi,Apr 21,http://stats.espncricinfo.com/ci/engine/match/64765.html
Pakistan,New Zealand,Pakistan,3 wickets,Rawalpindi,Apr 24,http://stats.espncricinfo.com/ci/engine/match/64766.html
Pakistan,New Zealand,Pakistan,66 runs,Lahore,Apr 27,http://stats.espncricinfo.com/ci/engine/match/64767.html
West Indies,India,India,7 wickets,Bridgetown,May 29,http://stats.espncricinfo.com/ci/engine/match/64768.html
West Indies,India,West Indies,7 wickets,Port of Spain,Jun 1,http://stats.espncricinfo.com/ci/engine/match/64769.html
West Indies,India,India,56 runs,Port of Spain,Jun 2,http://stats.espncricinfo.com/ci/engine/match/64770.html
West Indies,New Zealand,no result, ,Kingston,Jun 5,http://stats.espncricinfo.com/ci/engine/match/64771.html
West Indies,New Zealand,West Indies,6 wickets,Gros Islet,Jun 8,http://stats.espncricinfo.com/ci/engine/match/64772.html
West Indies,New Zealand,West Indies,7 wickets,Gros Islet,Jun 9,http://stats.espncricinfo.com/ci/engine/match/64773.html
Australia,Pakistan,Australia,7 wickets,Melbourne (Docklands),Jun 12,http://stats.espncricinfo.com/ci/engine/match/64774.html
West Indies,New Zealand,New Zealand,9 runs,Port of Spain,Jun 12,http://stats.espncricinfo.com/ci/engine/match/64775.html
Australia,Pakistan,Pakistan,2 wickets,Melbourne (Docklands),Jun 15,http://stats.espncricinfo.com/ci/engine/match/64776.html
West Indies,New Zealand,West Indies,4 wickets,Kingstown,Jun 16,http://stats.espncricinfo.com/ci/engine/match/64777.html
Australia,Pakistan,Pakistan,91 runs,Brisbane,Jun 19,http://stats.espncricinfo.com/ci/engine/match/64778.html
England,Sri Lanka,England,44 runs,Nottingham,Jun 27,http://stats.espncricinfo.com/ci/engine/match/66283.html
England,India,India,6 wickets,Lord's,Jun 29,http://stats.espncricinfo.com/ci/engine/match/66284.html
