Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS),Jun 18,http://stats.espncricinfo.com/ci/engine/match/562443.html
England,West Indies,England,8 wickets,The Oval,Jun 19,http://stats.espncricinfo.com/ci/engine/match/534210.html
Ireland,Australia,no result, ,Belfast,Jun 23,http://stats.espncricinfo.com/ci/engine/match/534214.html
England,Australia,England,15 runs,Lord's,Jun 29,http://stats.espncricinfo.com/ci/engine/match/534215.html
England,Australia,England,6 wickets,The Oval,Jul 1,http://stats.espncricinfo.com/ci/engine/match/534216.html
Ireland,Afghanistan,Ireland,59 runs,Dublin,Jul 5,http://stats.espncricinfo.com/ci/engine/match/555892.html
West Indies,New Zealand,West Indies,9 wickets,Kingston,Jul 5,http://stats.espncricinfo.com/ci/engine/match/560923.html
England,Australia,England,8 wickets,Chester-le-Street,Jul 7,http://stats.espncricinfo.com/ci/engine/match/534218.html
West Indies,New Zealand,West Indies,55 runs,Kingston,Jul 7,http://stats.espncricinfo.com/ci/engine/match/560924.html
England,Australia,England,7 wickets,Manchester,Jul 10,http://stats.espncricinfo.com/ci/engine/match/534219.html
Scotland,Canada,Scotland,4 wickets,Ayr,Jul 11-12,http://stats.espncricinfo.com/ci/engine/match/555894.html
West Indies,New Zealand,New Zealand,88 runs,Basseterre,Jul 11,http://stats.espncricinfo.com/ci/engine/match/560925.html
West Indies,New Zealand,West Indies,24 runs,Basseterre,Jul 14,http://stats.espncricinfo.com/ci/engine/match/560926.html
West Indies,New Zealand,West Indies,20 runs,Basseterre,Jul 16,http://stats.espncricinfo.com/ci/engine/match/560927.html
Sri Lanka,India,India,21 runs,Hambantota,Jul 21,http://stats.espncricinfo.com/ci/engine/match/564781.html
Sri Lanka,India,Sri Lanka,9 wickets,Hambantota,Jul 24,http://stats.espncricinfo.com/ci/engine/match/564782.html
Sri Lanka,India,India,5 wickets,Colombo (RPS),Jul 28,http://stats.espncricinfo.com/ci/engine/match/564783.html
Sri Lanka,India,India,6 wickets,Colombo (RPS),Jul 31,http://stats.espncricinfo.com/ci/engine/match/564784.html
Sri Lanka,India,India,20 runs,Pallekele,Aug 4,http://stats.espncricinfo.com/ci/engine/match/564785.html
England,South Africa,no result, ,Cardiff,Aug 24,http://stats.espncricinfo.com/ci/engine/match/534228.html
Afghanistan,Australia,Australia,66 runs,Sharjah,Aug 25,http://stats.espncricinfo.com/ci/engine/match/571947.html
England,South Africa,South Africa,80 runs,Southampton,Aug 28,http://stats.espncricinfo.com/ci/engine/match/534229.html
Australia,Pakistan,Australia,4 wickets,Sharjah,Aug 28,http://stats.espncricinfo.com/ci/engine/match/571145.html
England,South Africa,England,4 wickets,The Oval,Aug 31,http://stats.espncricinfo.com/ci/engine/match/534230.html
Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,Aug 31,http://stats.espncricinfo.com/ci/engine/match/571146.html
England,South Africa,England,6 wickets,Lord's,Sep 2,http://stats.espncricinfo.com/ci/engine/match/534231.html
Australia,Pakistan,Australia,3 wickets,Sharjah,Sep 3,http://stats.espncricinfo.com/ci/engine/match/571147.html
England,South Africa,South Africa,7 wickets,Nottingham,Sep 5,http://stats.espncricinfo.com/ci/engine/match/534232.html
Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele,Nov 4,http://stats.espncricinfo.com/ci/engine/match/582188.html
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele,Nov 6,http://stats.espncricinfo.com/ci/engine/match/582189.html
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota,Nov 10,http://stats.espncricinfo.com/ci/engine/match/582190.html
Sri Lanka,New Zealand,no result, ,Hambantota,Nov 12,http://stats.espncricinfo.com/ci/engine/match/582191.html
Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,Nov 30,http://stats.espncricinfo.com/ci/engine/match/587471.html
Bangladesh,West Indies,Bangladesh,160 runs,Khulna,Dec 2,http://stats.espncricinfo.com/ci/engine/match/587472.html
Bangladesh,West Indies,West Indies,4 wickets,Dhaka,Dec 5,http://stats.espncricinfo.com/ci/engine/match/587473.html
Bangladesh,West Indies,West Indies,75 runs,Dhaka,Dec 7,http://stats.espncricinfo.com/ci/engine/match/587474.html
Bangladesh,West Indies,Bangladesh,2 wickets,Dhaka,Dec 8,http://stats.espncricinfo.com/ci/engine/match/587475.html
India,Pakistan,Pakistan,6 wickets,Chennai,Dec 30,http://stats.espncricinfo.com/ci/engine/match/589308.html
