New Zealand,Pakistan,New Zealand,4 wickets,Auckland,Jan 3,http://stats.espncricinfo.com/ci/engine/match/64857.html
New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,Jan 7,http://stats.espncricinfo.com/ci/engine/match/64858.html
Australia,India,Australia,18 runs,Melbourne,Jan 9,http://stats.espncricinfo.com/ci/engine/match/65643.html
New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,Jan 10,http://stats.espncricinfo.com/ci/engine/match/64859.html
Australia,Zimbabwe,Australia,99 runs,Sydney,Jan 11,http://stats.espncricinfo.com/ci/engine/match/65644.html
New Zealand,Pakistan,New Zealand,8 wickets,Napier,Jan 14,http://stats.espncricinfo.com/ci/engine/match/64860.html
India,Zimbabwe,India,7 wickets,Hobart,Jan 14,http://stats.espncricinfo.com/ci/engine/match/65645.html
Australia,Zimbabwe,Australia,148 runs,Hobart,Jan 16,http://stats.espncricinfo.com/ci/engine/match/65646.html
New Zealand,Pakistan,New Zealand,4 runs,Wellington,Jan 17,http://stats.espncricinfo.com/ci/engine/match/64861.html
Australia,India,India,19 runs,Brisbane,Jan 18,http://stats.espncricinfo.com/ci/engine/match/65647.html
India,Zimbabwe,India,24 runs,Brisbane,Jan 20,http://stats.espncricinfo.com/ci/engine/match/65648.html
Australia,India,Australia,2 wickets,Sydney,Jan 22,http://stats.espncricinfo.com/ci/engine/match/65649.html
India,Zimbabwe,India,3 runs,Adelaide,Jan 24,http://stats.espncricinfo.com/ci/engine/match/65650.html
South Africa,West Indies,South Africa,209 runs,Cape Town,Jan 25,http://stats.espncricinfo.com/ci/engine/match/64862.html
Australia,Zimbabwe,Australia,13 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/65651.html
South Africa,West Indies,South Africa,16 runs,Port Elizabeth,Jan 28,http://stats.espncricinfo.com/ci/engine/match/64863.html
Australia,Zimbabwe,no result, ,Melbourne,Jan 29,http://stats.espncricinfo.com/ci/engine/match/65652.html
South Africa,West Indies,no result, ,Durban,Jan 30,http://stats.espncricinfo.com/ci/engine/match/64864.html
Australia,India,Australia,5 wickets,Perth,Feb 1,http://stats.espncricinfo.com/ci/engine/match/65653.html
South Africa,West Indies,West Indies,7 wickets,Centurion,Feb 1,http://stats.espncricinfo.com/ci/engine/match/64865.html
India,Zimbabwe,India,4 wickets,Perth,Feb 3,http://stats.espncricinfo.com/ci/engine/match/65654.html
South Africa,West Indies,South Africa,4 wickets,Johannesburg,Feb 4,http://stats.espncricinfo.com/ci/engine/match/64866.html
