Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,Jul 18,http://stats.espncricinfo.com/ci/engine/match/756035.html,ODI # 3503
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,Jul 20,http://stats.espncricinfo.com/ci/engine/match/756037.html,ODI # 3504
Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,Jul 22,http://stats.espncricinfo.com/ci/engine/match/756039.html,ODI # 3505
Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,Jul 24,http://stats.espncricinfo.com/ci/engine/match/756041.html,ODI # 3506
Zimbabwe,South Africa,South Africa,93 runs,Bulawayo,Aug 17,http://stats.espncricinfo.com/ci/engine/match/736437.html,ODI # 3507
Zimbabwe,South Africa,South Africa,61 runs,Bulawayo,Aug 19,http://stats.espncricinfo.com/ci/engine/match/736439.html,ODI # 3508
West Indies,Bangladesh,West Indies,3 wickets,St George's,Aug 20,http://stats.espncricinfo.com/ci/engine/match/730287.html,ODI # 3509
Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo,Aug 21,http://stats.espncricinfo.com/ci/engine/match/736441.html,ODI # 3510
West Indies,Bangladesh,West Indies,177 runs,St George's,Aug 22,http://stats.espncricinfo.com/ci/engine/match/730289.html,ODI # 3511
Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota,Aug 23,http://stats.espncricinfo.com/ci/engine/match/745159.html,ODI # 3512
Zimbabwe,Australia,Australia,198 runs,Harare,Aug 25,http://stats.espncricinfo.com/ci/engine/match/736443.html,ODI # 3513
West Indies,Bangladesh,West Indies,91 runs,Basseterre,Aug 25,http://stats.espncricinfo.com/ci/engine/match/730291.html,ODI # 3514
Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota,Aug 26,http://stats.espncricinfo.com/ci/engine/match/745161.html,ODI # 3515
Australia,South Africa,South Africa,7 wickets,Harare,Aug 27,http://stats.espncricinfo.com/ci/engine/match/736445.html,ODI # 3516
