Team1:Afghanistan,Team2:Ireland,Winner:Afghanistan,Margin:7 wickets,Ground:Greater Noida,Match Date:Mar 24, 2017,Scorecard Link:/ci/engine/match/1040499.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:Bangladesh,Margin:90 runs,Ground:Dambulla,Match Date:Mar 25, 2017,Scorecard Link:/ci/engine/match/1083446.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:no result,Margin: ,Ground:Dambulla,Match Date:Mar 28, 2017,Scorecard Link:/ci/engine/match/1083447.html
Team1:U.A.E.,Team2:P.N.G.,Winner:U.A.E.,Margin:82 runs,Ground:Abu Dhabi,Match Date:Mar 31, 2017,Scorecard Link:/ci/engine/match/1068736.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:Sri Lanka,Margin:70 runs,Ground:Colombo (SSC),Match Date:Apr 1, 2017,Scorecard Link:/ci/engine/match/1083448.html
Team1:U.A.E.,Team2:P.N.G.,Winner:P.N.G.,Margin:26 runs,Ground:Abu Dhabi,Match Date:Apr 2, 2017,Scorecard Link:/ci/engine/match/1068737.html
Team1:U.A.E.,Team2:P.N.G.,Winner:U.A.E.,Margin:103 runs,Ground:Abu Dhabi,Match Date:Apr 4, 2017,Scorecard Link:/ci/engine/match/1089183.html
Team1:West Indies,Team2:Pakistan,Winner:West Indies,Margin:4 wickets,Ground:Providence,Match Date:Apr 7, 2017,Scorecard Link:/ci/engine/match/1077949.html
Team1:West Indies,Team2:Pakistan,Winner:Pakistan,Margin:74 runs,Ground:Providence,Match Date:Apr 9, 2017,Scorecard Link:/ci/engine/match/1077950.html
Team1:West Indies,Team2:Pakistan,Winner:Pakistan,Margin:6 wickets,Ground:Providence,Match Date:Apr 11, 2017,Scorecard Link:/ci/engine/match/1077951.html
Team1:England,Team2:Ireland,Winner:England,Margin:7 wickets,Ground:Bristol,Match Date:May 5, 2017,Scorecard Link:/ci/engine/match/1029001.html
Team1:England,Team2:Ireland,Winner:England,Margin:85 runs,Ground:Lord's,Match Date:May 7, 2017,Scorecard Link:/ci/engine/match/1029003.html
