Team1:West Indies,Team2:South Africa,Winner:South Africa,Margin:8 wickets,Ground:Kingston,Match Date:May 7, 2005,Scorecard Link:/ci/engine/match/208811.html
Team1:West Indies,Team2:South Africa,Winner:South Africa,Margin:8 wickets,Ground:Kingston,Match Date:May 8, 2005,Scorecard Link:/ci/engine/match/208835.html
Team1:West Indies,Team2:South Africa,Winner:South Africa,Margin:1 run,Ground:Bridgetown,Match Date:May 11, 2005,Scorecard Link:/ci/engine/match/209027.html
Team1:West Indies,Team2:South Africa,Winner:South Africa,Margin:6 wickets,Ground:Port of Spain,Match Date:May 14, 2005,Scorecard Link:/ci/engine/match/209297.html
Team1:West Indies,Team2:South Africa,Winner:South Africa,Margin:7 wickets,Ground:Port of Spain,Match Date:May 15, 2005,Scorecard Link:/ci/engine/match/209339.html
Team1:West Indies,Team2:Pakistan,Winner:Pakistan,Margin:59 runs,Ground:Kingstown,Match Date:May 18, 2005,Scorecard Link:/ci/engine/match/209582.html
Team1:West Indies,Team2:Pakistan,Winner:Pakistan,Margin:40 runs,Ground:Gros Islet,Match Date:May 21, 2005,Scorecard Link:/ci/engine/match/209733.html
Team1:West Indies,Team2:Pakistan,Winner:Pakistan,Margin:22 runs,Ground:Gros Islet,Match Date:May 22, 2005,Scorecard Link:/ci/engine/match/209768.html
Team1:England,Team2:Bangladesh,Winner:England,Margin:10 wickets,Ground:The Oval,Match Date:Jun 16, 2005,Scorecard Link:/ci/engine/match/211244.html
Team1:Australia,Team2:Bangladesh,Winner:Bangladesh,Margin:5 wickets,Ground:Cardiff,Match Date:Jun 18, 2005,Scorecard Link:/ci/engine/match/211364.html
Team1:England,Team2:Australia,Winner:England,Margin:3 wickets,Ground:Bristol,Match Date:Jun 19, 2005,Scorecard Link:/ci/engine/match/211425.html
Team1:England,Team2:Bangladesh,Winner:England,Margin:168 runs,Ground:Nottingham,Match Date:Jun 21, 2005,Scorecard Link:/ci/engine/match/211579.html
Team1:England,Team2:Australia,Winner:Australia,Margin:57 runs,Ground:Chester-le-Street,Match Date:Jun 23, 2005,Scorecard Link:/ci/engine/match/211678.html
Team1:Australia,Team2:Bangladesh,Winner:Australia,Margin:10 wickets,Ground:Manchester,Match Date:Jun 25, 2005,Scorecard Link:/ci/engine/match/211824.html
Team1:England,Team2:Bangladesh,Winner:England,Margin:5 wickets,Ground:Leeds,Match Date:Jun 26, 2005,Scorecard Link:/ci/engine/match/211860.html
Team1:England,Team2:Australia,Winner:no result,Margin: ,Ground:Birmingham,Match Date:Jun 28, 2005,Scorecard Link:/ci/engine/match/212020.html
Team1:Australia,Team2:Bangladesh,Winner:Australia,Margin:6 wickets,Ground:Canterbury,Match Date:Jun 30, 2005,Scorecard Link:/ci/engine/match/212253.html
Team1:England,Team2:Australia,Winner:tied,Margin: ,Ground:Lord's,Match Date:Jul 2, 2005,Scorecard Link:/ci/engine/match/212452.html
Team1:England,Team2:Australia,Winner:England,Margin:9 wickets,Ground:Leeds,Match Date:Jul 7, 2005,Scorecard Link:/ci/engine/match/212795.html
Team1:England,Team2:Australia,Winner:Australia,Margin:7 wickets,Ground:Lord's,Match Date:Jul 10, 2005,Scorecard Link:/ci/engine/match/213080.html
Team1:England,Team2:Australia,Winner:Australia,Margin:8 wickets,Ground:The Oval,Match Date:Jul 12, 2005,Scorecard Link:/ci/engine/match/213288.html
Team1:Sri Lanka,Team2:India,Winner:Sri Lanka,Margin:3 wickets,Ground:Dambulla,Match Date:Jul 30, 2005,Scorecard Link:/ci/engine/match/214634.html
Team1:India,Team2:West Indies,Winner:India,Margin:6 wickets,Ground:Dambulla,Match Date:Jul 31, 2005,Scorecard Link:/ci/engine/match/214742.html
Team1:Sri Lanka,Team2:West Indies,Winner:Sri Lanka,Margin:50 runs,Ground:Dambulla,Match Date:Aug 2, 2005,Scorecard Link:/ci/engine/match/214852.html
Team1:Sri Lanka,Team2:India,Winner:Sri Lanka,Margin:4 wickets,Ground:Dambulla,Match Date:Aug 3, 2005,Scorecard Link:/ci/engine/match/214921.html
Team1:Sri Lanka,Team2:West Indies,Winner:West Indies,Margin:33 runs,Ground:Colombo (RPS),Match Date:Aug 6, 2005,Scorecard Link:/ci/engine/match/215134.html
Team1:India,Team2:West Indies,Winner:India,Margin:7 runs,Ground:Colombo (RPS),Match Date:Aug 7, 2005,Scorecard Link:/ci/engine/match/215286.html
Team1:Sri Lanka,Team2:India,Winner:Sri Lanka,Margin:18 runs,Ground:Colombo (RPS),Match Date:Aug 9, 2005,Scorecard Link:/ci/engine/match/215449.html
Team1:Africa XI,Team2:Asia XI,Winner:Africa XI,Margin:2 runs,Ground:Centurion,Match Date:Aug 17, 2005,Scorecard Link:/ci/engine/match/216271.html
Team1:Africa XI,Team2:Asia XI,Winner:Asia XI,Margin:17 runs,Ground:Durban,Match Date:Aug 20, 2005,Scorecard Link:/ci/engine/match/216591.html
Team1:Africa XI,Team2:Asia XI,Winner:no result,Margin: ,Ground:Durban,Match Date:Aug 21, 2005,Scorecard Link:/ci/engine/match/216669.html
Team1:Zimbabwe,Team2:New Zealand,Winner:New Zealand,Margin:192 runs,Ground:Bulawayo,Match Date:Aug 24, 2005,Scorecard Link:/ci/engine/match/216929.html
Team1:India,Team2:New Zealand,Winner:New Zealand,Margin:51 runs,Ground:Bulawayo,Match Date:Aug 26, 2005,Scorecard Link:/ci/engine/match/217116.html
Team1:Zimbabwe,Team2:India,Winner:India,Margin:161 runs,Ground:Harare,Match Date:Aug 29, 2005,Scorecard Link:/ci/engine/match/217481.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:Sri Lanka,Margin:88 runs,Ground:Colombo (SSC),Match Date:Aug 31, 2005,Scorecard Link:/ci/engine/match/217647.html
Team1:Zimbabwe,Team2:New Zealand,Winner:New Zealand,Margin:27 runs,Ground:Harare,Match Date:Aug 31, 2005,Scorecard Link:/ci/engine/match/217648.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:Sri Lanka,Margin:75 runs,Ground:Colombo (RPS),Match Date:Sep 2, 2005,Scorecard Link:/ci/engine/match/217810.html
Team1:India,Team2:New Zealand,Winner:India,Margin:6 wickets,Ground:Harare,Match Date:Sep 2, 2005,Scorecard Link:/ci/engine/match/217811.html
Team1:Sri Lanka,Team2:Bangladesh,Winner:Sri Lanka,Margin:6 wickets,Ground:Colombo (RPS),Match Date:Sep 4, 2005,Scorecard Link:/ci/engine/match/217978.html
Team1:Zimbabwe,Team2:India,Winner:India,Margin:4 wickets,Ground:Harare,Match Date:Sep 4, 2005,Scorecard Link:/ci/engine/match/217979.html
Team1:India,Team2:New Zealand,Winner:New Zealand,Margin:6 wickets,Ground:Harare,Match Date:Sep 6, 2005,Scorecard Link:/ci/engine/match/218250.html
Team1:Australia,Team2:ICC World XI,Winner:Australia,Margin:93 runs,Ground:Melbourne (Docklands),Match Date:Oct 5, 2005,Scorecard Link:/ci/engine/match/220935.html
Team1:Australia,Team2:ICC World XI,Winner:Australia,Margin:55 runs,Ground:Melbourne (Docklands),Match Date:Oct 7, 2005,Scorecard Link:/ci/engine/match/221083.html
Team1:Australia,Team2:ICC World XI,Winner:Australia,Margin:156 runs,Ground:Melbourne (Docklands),Match Date:Oct 9, 2005,Scorecard Link:/ci/engine/match/221337.html
Team1:South Africa,Team2:New Zealand,Winner:South Africa,Margin:2 wickets,Ground:Bloemfontein,Match Date:Oct 23, 2005,Scorecard Link:/ci/engine/match/222857.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:152 runs,Ground:Nagpur,Match Date:Oct 25, 2005,Scorecard Link:/ci/engine/match/223018.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:8 wickets,Ground:Mohali,Match Date:Oct 28, 2005,Scorecard Link:/ci/engine/match/223334.html
Team1:South Africa,Team2:New Zealand,Winner:South Africa,Margin:19 runs,Ground:Cape Town,Match Date:Oct 28, 2005,Scorecard Link:/ci/engine/match/223335.html
Team1:South Africa,Team2:New Zealand,Winner:South Africa,Margin:4 wickets,Ground:Port Elizabeth,Match Date:Oct 30, 2005,Scorecard Link:/ci/engine/match/223542.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:6 wickets,Ground:Jaipur,Match Date:Oct 31, 2005,Scorecard Link:/ci/engine/match/223634.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:4 wickets,Ground:Pune,Match Date:Nov 3, 2005,Scorecard Link:/ci/engine/match/223902.html
Team1:South Africa,Team2:New Zealand,Winner:no result,Margin: ,Ground:Durban,Match Date:Nov 4, 2005,Scorecard Link:/ci/engine/match/224044.html
Team1:South Africa,Team2:New Zealand,Winner:South Africa,Margin:5 wickets,Ground:Centurion,Match Date:Nov 6, 2005,Scorecard Link:/ci/engine/match/224227.html
Team1:India,Team2:Sri Lanka,Winner:Sri Lanka,Margin:5 wickets,Ground:Ahmedabad,Match Date:Nov 6, 2005,Scorecard Link:/ci/engine/match/224231.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:7 wickets,Ground:Rajkot,Match Date:Nov 9, 2005,Scorecard Link:/ci/engine/match/224556.html
Team1:India,Team2:Sri Lanka,Winner:India,Margin:5 wickets,Ground:Vadodara,Match Date:Nov 12, 2005,Scorecard Link:/ci/engine/match/225437.html
Team1:India,Team2:South Africa,Winner:South Africa,Margin:5 wickets,Ground:Hyderabad (Deccan),Match Date:Nov 16, 2005,Scorecard Link:/ci/engine/match/225959.html
Team1:India,Team2:South Africa,Winner:India,Margin:6 wickets,Ground:Bengaluru,Match Date:Nov 19, 2005,Scorecard Link:/ci/engine/match/226315.html
Team1:India,Team2:South Africa,Winner:South Africa,Margin:10 wickets,Ground:Kolkata,Match Date:Nov 25, 2005,Scorecard Link:/ci/engine/match/226358.html
Team1:India,Team2:South Africa,Winner:India,Margin:5 wickets,Ground:Mumbai,Match Date:Nov 28, 2005,Scorecard Link:/ci/engine/match/226359.html
Team1:New Zealand,Team2:Australia,Winner:Australia,Margin:147 runs,Ground:Auckland,Match Date:Dec 3, 2005,Scorecard Link:/ci/engine/match/226364.html
Team1:New Zealand,Team2:Australia,Winner:Australia,Margin:2 runs,Ground:Wellington,Match Date:Dec 7, 2005,Scorecard Link:/ci/engine/match/226365.html
Team1:New Zealand,Team2:Australia,Winner:New Zealand,Margin:2 wickets,Ground:Christchurch,Match Date:Dec 10, 2005,Scorecard Link:/ci/engine/match/226366.html
Team1:Pakistan,Team2:England,Winner:England,Margin:42 runs,Ground:Lahore,Match Date:Dec 10, 2005,Scorecard Link:/ci/engine/match/226352.html
Team1:Pakistan,Team2:England,Winner:Pakistan,Margin:7 wickets,Ground:Lahore,Match Date:Dec 12, 2005,Scorecard Link:/ci/engine/match/226353.html
Team1:Pakistan,Team2:England,Winner:Pakistan,Margin:165 runs,Ground:Karachi,Match Date:Dec 15, 2005,Scorecard Link:/ci/engine/match/226354.html
Team1:Pakistan,Team2:England,Winner:Pakistan,Margin:13 runs,Ground:Rawalpindi,Match Date:Dec 19, 2005,Scorecard Link:/ci/engine/match/226355.html
Team1:Pakistan,Team2:England,Winner:England,Margin:6 runs,Ground:Rawalpindi,Match Date:Dec 21, 2005,Scorecard Link:/ci/engine/match/226356.html
Team1:New Zealand,Team2:Sri Lanka,Winner:New Zealand,Margin:7 wickets,Ground:Queenstown,Match Date:Dec 31, 2005,Scorecard Link:/ci/engine/match/226390.html
