New Zealand,West Indies,West Indies,5 wickets,Christchurch,Jan 3,http://stats.espncricinfo.com/ci/engine/match/366710.html
New Zealand,West Indies,New Zealand,7 wickets,Wellington,Jan 7,http://stats.espncricinfo.com/ci/engine/match/366711.html
New Zealand,West Indies,no result, ,Auckland,Jan 10,http://stats.espncricinfo.com/ci/engine/match/366712.html
Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,Jan 10,http://stats.espncricinfo.com/ci/engine/match/378753.html
Sri Lanka,Zimbabwe,Sri Lanka,130 runs,Dhaka,Jan 12,http://stats.espncricinfo.com/ci/engine/match/378754.html
New Zealand,West Indies,New Zealand,9 runs,Napier,Jan 13,http://stats.espncricinfo.com/ci/engine/match/366713.html
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,Jan 14,http://stats.espncricinfo.com/ci/engine/match/378755.html
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,Jan 16,http://stats.espncricinfo.com/ci/engine/match/378756.html
Australia,South Africa,South Africa,3 wickets,Melbourne,Jan 16,http://stats.espncricinfo.com/ci/engine/match/351684.html
Australia,South Africa,Australia,5 runs,Hobart,Jan 18,http://stats.espncricinfo.com/ci/engine/match/351685.html
Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,Jan 19,http://stats.espncricinfo.com/ci/engine/match/378757.html
Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,Jan 20,http://stats.espncricinfo.com/ci/engine/match/385749.html
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,Jan 21,http://stats.espncricinfo.com/ci/engine/match/378758.html
Pakistan,Sri Lanka,Sri Lanka,129 runs,Karachi,Jan 21,http://stats.espncricinfo.com/ci/engine/match/385750.html
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,Jan 23,http://stats.espncricinfo.com/ci/engine/match/378759.html
Australia,South Africa,South Africa,3 wickets,Sydney,Jan 23,http://stats.espncricinfo.com/ci/engine/match/351686.html
Pakistan,Sri Lanka,Sri Lanka,234 runs,Lahore,Jan 24,http://stats.espncricinfo.com/ci/engine/match/385751.html
Australia,South Africa,South Africa,8 wickets,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/351687.html
Kenya,Zimbabwe,Zimbabwe,109 runs,Mombasa,Jan 27,http://stats.espncricinfo.com/ci/engine/match/385023.html
Sri Lanka,India,India,6 wickets,Dambulla,Jan 28,http://stats.espncricinfo.com/ci/engine/match/386530.html
Kenya,Zimbabwe,Zimbabwe,151 runs,Mombasa,Jan 29,http://stats.espncricinfo.com/ci/engine/match/385024.html
Australia,South Africa,South Africa,39 runs,Perth,Jan 30,http://stats.espncricinfo.com/ci/engine/match/351688.html
