New Zealand,Pakistan,New Zealand,61 runs,Wellington,Jan 6,http://stats.espncricinfo.com/ci/engine/match/1115802.html
New Zealand,Pakistan,New Zealand,8 wickets,Nelson,Jan 9,http://stats.espncricinfo.com/ci/engine/match/1115803.html
U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,Jan 11,http://stats.espncricinfo.com/ci/engine/match/1131274.html
New Zealand,Pakistan,New Zealand,183 runs,Dunedin,Jan 13,http://stats.espncricinfo.com/ci/engine/match/1115804.html
U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,Jan 13,http://stats.espncricinfo.com/ci/engine/match/1131275.html
Australia,England,England,5 wickets,Melbourne,Jan 14,http://stats.espncricinfo.com/ci/engine/match/1072310.html
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,Jan 15,http://stats.espncricinfo.com/ci/engine/match/1130737.html
New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,Jan 16,http://stats.espncricinfo.com/ci/engine/match/1115805.html
Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,Jan 16,http://stats.espncricinfo.com/ci/engine/match/1131276.html
Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Dhaka,Jan 17,http://stats.espncricinfo.com/ci/engine/match/1130738.html
Ireland,Scotland,Ireland,24 runs,ICCA Dubai,Jan 18,http://stats.espncricinfo.com/ci/engine/match/1131277.html
New Zealand,Pakistan,New Zealand,15 runs,Wellington,Jan 19,http://stats.espncricinfo.com/ci/engine/match/1115806.html
Australia,England,England,4 wickets,Brisbane,Jan 19,http://stats.espncricinfo.com/ci/engine/match/1072311.html
Bangladesh,Sri Lanka,Bangladesh,163 runs,Dhaka,Jan 19,http://stats.espncricinfo.com/ci/engine/match/1130739.html
Australia,England,England,16 runs,Sydney,Jan 21,http://stats.espncricinfo.com/ci/engine/match/1072312.html
U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,Jan 21,http://stats.espncricinfo.com/ci/engine/match/1131278.html
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Dhaka,Jan 21,http://stats.espncricinfo.com/ci/engine/match/1130740.html
U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,Jan 23,http://stats.espncricinfo.com/ci/engine/match/1131279.html
Bangladesh,Zimbabwe,Bangladesh,91 runs,Dhaka,Jan 23,http://stats.espncricinfo.com/ci/engine/match/1130741.html
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Dhaka,Jan 25,http://stats.espncricinfo.com/ci/engine/match/1130742.html
