Australia,Bangladesh,Australia,6 wickets,Canterbury,Jun 30,http://stats.espncricinfo.com/ci/engine/match/212253.html
England,Australia,tied, ,Lord's,Jul 2,http://stats.espncricinfo.com/ci/engine/match/212452.html
England,Australia,England,9 wickets,Leeds,Jul 7,http://stats.espncricinfo.com/ci/engine/match/212795.html
England,Australia,Australia,7 wickets,Lord's,Jul 10,http://stats.espncricinfo.com/ci/engine/match/213080.html
England,Australia,Australia,8 wickets,The Oval,Jul 12,http://stats.espncricinfo.com/ci/engine/match/213288.html
Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,Jul 30,http://stats.espncricinfo.com/ci/engine/match/214634.html
India,West Indies,India,6 wickets,Dambulla,Jul 31,http://stats.espncricinfo.com/ci/engine/match/214742.html
Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,Aug 2,http://stats.espncricinfo.com/ci/engine/match/214852.html
Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,Aug 3,http://stats.espncricinfo.com/ci/engine/match/214921.html
Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS),Aug 6,http://stats.espncricinfo.com/ci/engine/match/215134.html
India,West Indies,India,7 runs,Colombo (RPS),Aug 7,http://stats.espncricinfo.com/ci/engine/match/215286.html
Sri Lanka,India,Sri Lanka,18 runs,Colombo (RPS),Aug 9,http://stats.espncricinfo.com/ci/engine/match/215449.html
Africa XI,Asia XI,Africa XI,2 runs,Centurion,Aug 17,http://stats.espncricinfo.com/ci/engine/match/216271.html
Africa XI,Asia XI,Asia XI,17 runs,Durban,Aug 20,http://stats.espncricinfo.com/ci/engine/match/216591.html
Africa XI,Asia XI,no result, ,Durban,Aug 21,http://stats.espncricinfo.com/ci/engine/match/216669.html
Zimbabwe,New Zealand,New Zealand,192 runs,Bulawayo,Aug 24,http://stats.espncricinfo.com/ci/engine/match/216929.html
India,New Zealand,New Zealand,51 runs,Bulawayo,Aug 26,http://stats.espncricinfo.com/ci/engine/match/217116.html
Zimbabwe,India,India,161 runs,Harare,Aug 29,http://stats.espncricinfo.com/ci/engine/match/217481.html
Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),Aug 31,http://stats.espncricinfo.com/ci/engine/match/217647.html
Zimbabwe,New Zealand,New Zealand,27 runs,Harare,Aug 31,http://stats.espncricinfo.com/ci/engine/match/217648.html
Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),Sep 2,http://stats.espncricinfo.com/ci/engine/match/217810.html
India,New Zealand,India,6 wickets,Harare,Sep 2,http://stats.espncricinfo.com/ci/engine/match/217811.html
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),Sep 4,http://stats.espncricinfo.com/ci/engine/match/217978.html
Zimbabwe,India,India,4 wickets,Harare,Sep 4,http://stats.espncricinfo.com/ci/engine/match/217979.html
India,New Zealand,New Zealand,6 wickets,Harare,Sep 6,http://stats.espncricinfo.com/ci/engine/match/218250.html
Australia,ICC World XI,Australia,93 runs,Melbourne (Docklands),Oct 5,http://stats.espncricinfo.com/ci/engine/match/220935.html
Australia,ICC World XI,Australia,55 runs,Melbourne (Docklands),Oct 7,http://stats.espncricinfo.com/ci/engine/match/221083.html
Australia,ICC World XI,Australia,156 runs,Melbourne (Docklands),Oct 9,http://stats.espncricinfo.com/ci/engine/match/221337.html
South Africa,New Zealand,South Africa,2 wickets,Bloemfontein,Oct 23,http://stats.espncricinfo.com/ci/engine/match/222857.html
India,Sri Lanka,India,152 runs,Nagpur,Oct 25,http://stats.espncricinfo.com/ci/engine/match/223018.html
India,Sri Lanka,India,8 wickets,Mohali,Oct 28,http://stats.espncricinfo.com/ci/engine/match/223334.html
South Africa,New Zealand,South Africa,19 runs,Cape Town,Oct 28,http://stats.espncricinfo.com/ci/engine/match/223335.html
South Africa,New Zealand,South Africa,4 wickets,Port Elizabeth,Oct 30,http://stats.espncricinfo.com/ci/engine/match/223542.html
India,Sri Lanka,India,6 wickets,Jaipur,Oct 31,http://stats.espncricinfo.com/ci/engine/match/223634.html
India,Sri Lanka,India,4 wickets,Pune,Nov 3,http://stats.espncricinfo.com/ci/engine/match/223902.html
South Africa,New Zealand,no result, ,Durban,Nov 4,http://stats.espncricinfo.com/ci/engine/match/224044.html
South Africa,New Zealand,South Africa,5 wickets,Centurion,Nov 6,http://stats.espncricinfo.com/ci/engine/match/224227.html
